Time_(s)	Photoconductance_Signal_(V)	Reference_Voltage_(V)	Apparent_Carrier_Density_(cm-3)	Tau_(s)	Inverse_Tau_Auger_Corrected_(s-1)	Minority_Carrier_Density_(cm-3)	Implied_Voc_(V)	Implied_Suns_(suns)	Photogeneration_(A/cm2)	Jo_(A/cm2)	ni_(cm-3)
0,000131800000	12,7586209	0,00916274994	152021349000000000	-0,0000814630995	-52165,5008	152021349000000000	0,848527051	-202,300535	5,40779424	-0,000000000000260859782	10720898500
0,000165000000	11,5699390	0,00299880594	132389194000000000	0,000403835318	-29245,9402	132389194000000000	0,842363546	35,5387069	-0,918729605	-0,000000000000212633683	10596677500
0,000198200000	10,2140552	0,00125980982	111328445000000000	0,000341690186	-20998,4279	111328445000000000	0,834672609	35,3205142	-0,912925678	-0,000000000000123492922	10449636000
0,000231400000	9,06164297	0,000597447751	94563618400000000	0,000290919958	-15003,4821	94563618400000000	0,827465583	35,2374073	-0,910715034	-0,000000000000110527299	10320276700
0,000264600000	8,09880105	0,000282262968	81367207500000000	0,000250603147	-10589,5322	81367207500000000	0,820867357	35,1978609	-0,909663100	-0,0000000000000981087616	10209138300
0,000297800000	7,29611191	0,000165635405	70934949800000000	0,000222297402	-7316,60177	70934949800000000	0,814882051	34,5922856	-0,893554797	-0,0000000000000741194272	10114348100
0,000331000000	6,61828301	0,000117687411	62530848400000000	0,000214965567	-5122,27498	62530848400000000	0,809418456	31,5339809	-0,812203893	-0,0000000000000563369079	10032764300
0,000364200000	6,03981873	0,000101540215	55653354700000000	0,000229054638	-3863,12204	55653354700000000	0,804406195	26,3393855	-0,674027653	-0,0000000000000524403275	9961998670
0,000397400000	5,54218609	0,0000813267011	49954432600000000	0,000252311896	-3070,91987	49954432600000000	0,799793493	21,4629633	-0,544314825	-0,0000000000000408784391	9900255280
0,000430600000	5,10797190	0,0000636907642	45146310000000000	0,000277025023	-2477,56038	45146310000000000	0,795505435	17,6667490	-0,443335524	-0,0000000000000337870067	9845704740
0,000463800000	4,72754091	0,0000597813301	41059771900000000	0,000302018381	-2015,63422	41059771900000000	0,791516818	14,7379316	-0,365428981	-0,0000000000000306611298	9797376300
0,000497000000	4,39141549	0,0000538449377	37547064700000000	0,000326736193	-1644,91245	37547064700000000	0,787787115	12,4575353	-0,304770439	-0,0000000000000282337038	9754247340
0,000530200000	4,09232512	0,0000527355605	34498562000000000	0,000351046637	-1342,34265	34498562000000000	0,784284248	10,6534324	-0,256781303	-0,0000000000000261811789	9715521930
0,000563400000	3,82545947	0,0000503716548	31839790600000000	0,000374961707	-1094,04485	31839790600000000	0,780993509	9,20527284	-0,218260257	-0,0000000000000249804340	9680684360
0,000596600000	3,58685370	0,0000493163548	29511443000000000	0,000398668390	-890,511176	29511443000000000	0,777902941	8,02475947	-0,186858602	-0,0000000000000233172234	9649303440
0,000629800000	3,37061391	0,0000508261719	27441145100000000	0,000421955604	-718,318652	27441145100000000	0,774966774	7,04999570	-0,160929886	-0,0000000000000218553444	9620670810
0,000663000000	3,17627488	0,0000432439695	25612767700000000	0,000445126062	-576,285645	25612767700000000	0,772205722	6,23773424	-0,139323731	-0,0000000000000206092630	9594779050
0,000696200000	2,99820863	0,0000447849370	23964242200000000	0,000467626726	-452,302584	23964242200000000	0,769563081	5,55543098	-0,121174464	-0,0000000000000192880505	9570921840
0,000729400000	2,83609467	0,0000487608408	22485618700000000	0,000489640580	-346,122115	22485618700000000	0,767053439	4,97829719	-0,105822705	-0,0000000000000184498757	9549090390
0,000762600000	2,68684214	0,0000399619141	21142996700000000	0,000511033240	-252,700007	21142996700000000	0,764646470	4,48508597	-0,0927032868	-0,0000000000000182338019	9528897030
0,000795800000	2,55043159	0,0000410061591	19931548300000000	0,000531982630	-172,253977	19931548300000000	0,762357677	4,06159827	-0,0814385139	-0,0000000000000175849398	9510362880
0,000829000000	2,42344552	0,0000429873430	18817213400000000	0,000551800999	-98,1902526	18817213400000000	0,760143266	3,69680215	-0,0717349372	-0,0000000000000170014496	9493042850
0,000862200000	2,30605980	0,0000454041167	17798613300000000	0,000570918770	-32,2372128	17798613300000000	0,758017645	3,37959941	-0,0632973443	-0,0000000000000162705126	9476976360
0,000895400000	2,19609601	0,0000350978816	16854415500000000	0,000589673273	27,0686663	16854415500000000	0,755951533	3,09852948	-0,0558208841	-0,0000000000000157558248	9461878230
0,000928600000	2,09362111	0,0000356836403	15983216300000000	0,000607548161	81,2661010	15983216300000000	0,753954983	2,85191677	-0,0492609859	-0,0000000000000152707631	9447768360
0,000961800000	1,99860741	0,0000422467018	15182934600000000	0,000624489373	130,511935	15182934600000000	0,752037000	2,63562762	-0,0435076946	-0,0000000000000147485310	9434652780
0,000995000000	1,90947852	0,0000434593705	14438758500000000	0,000640790017	175,610475	14438758500000000	0,750174270	2,44268517	-0,0383754256	-0,0000000000000142103991	9422322100
0,00102820000	1,82555170	0,0000380987948	13743796700000000	0,000657385937	215,078623	13743796700000000	0,748359199	2,26641634	-0,0336866746	-0,0000000000000140010368	9410688320
