Time_(s)	Photoconductance_Signal_(V)	Reference_Voltage_(V)	Apparent_Carrier_Density_(cm-3)	Tau_(s)	Inverse_Tau_Auger_Corrected_(s-1)	Minority_Carrier_Density_(cm-3)	Implied_Voc_(V)	Implied_Suns_(suns)	Photogeneration_(A/cm2)	Jo_(A/cm2)	ni_(cm-3)
0,000120200000	4,17790093	0,0913120918	25828806000000000	-0,0000235862454	-43678,3637	25828806000000000	0,763442631	-164,879401	4,41239207	-0,00000000000196843483	9337630400
0,000130200000	3,91753500	0,0572650253	23894721300000000	0,000123887269	6948,92743	23894721300000000	0,759748700	29,0399707	-0,745863220	-0,00000000000149597982	9301218790
0,000140200000	3,64965051	0,0373125131	21950832900000000	0,000124545471	7055,16036	21950832900000000	0,755723204	26,5365187	-0,679271397	-0,00000000000119504316	9263040120
0,000150200000	3,38919149	0,0248636243	20105334700000000	0,000121208902	7408,43138	20105334700000000	0,751559621	24,9745502	-0,637723036	-0,000000000000987032375	9225141680
0,000160200000	3,14706972	0,0169591020	18428890700000000	0,000115696658	7913,89706	18428890700000000	0,747435543	23,9827657	-0,611341569	-0,0000000000000389301682	9189138890
0,000170200000	2,92362524	0,0118508226	16915030900000000	0,000111384512	8343,63228	16915030900000000	0,743380061	22,8648771	-0,581605731	-0,0000000000000245184329	9155171540
0,000180200000	2,71739551	0,00842732617	15545994800000000	0,000110839681	8468,53845	15545994800000000	0,739392554	21,1175793	-0,535127609	0,00000000000000309221532	9123112670
0,000190200000	2,52715946	0,00611612825	14307019300000000	0,000112798000	8380,68505	14307019300000000	0,735475230	19,0971539	-0,481384294	0,0000000000000378132343	9092865470
0,000200200000	2,35721046	0,00458979724	13219481400000000	0,000115999072	8193,00763	13219481400000000	0,731753345	17,1585580	-0,429817643	0,0000000000000702472072	9065233530
0,000210200000	2,20232831	0,00357292276	12244177300000000	0,000119799293	7967,91027	12244177300000000	0,728152794	15,3884982	-0,382734051	0,0000000000000985106958	9039494350
0,000220200000	2,05820924	0,00281383566	11350158300000000	0,000123830300	7738,24350	11350158300000000	0,724599090	13,8005335	-0,340494190	0,000000000000113492699	9015016250
0,000230200000	1,92885831	0,00224359291	10558813500000000	0,000128298977	7492,37329	10558813500000000	0,721220165	12,3911841	-0,303005496	0,000000000000125257232	8992569270
0,000240200000	1,81206777	0,00177813483	9853283010000000	0,000133266403	7231,95569	9853283010000000	0,717995400	11,1322043	-0,269516633	0,000000000000134991113	8971876350
0,000250200000	1,70421757	0,00139778944	9209310800000000	0,000138398197	6979,99686	9209310800000000	0,714852500	10,0188432	-0,239901230	0,000000000000143116552	8952375530
0,000260200000	1,60387917	0,00108627014	8616692780000000	0,000143323525	6754,85605	8616692780000000	0,711768861	9,05198888	-0,214182904	0,000000000000151368965	8933864900
0,000270200000	1,51333668	0,000852231883	8087305300000000	0,000148604630	6526,76321	8087305300000000	0,708838492	8,19393248	-0,191358604	0,000000000000156017712	8916830860
0,000280200000	1,43051365	0,000661171511	7607514330000000	0,000154208038	6299,56659	7607514330000000	0,706021051	7,42773928	-0,170977865	0,000000000000158092060	8900952000
0,000290200000	1,35244520	0,000500893880	7159168410000000	0,000159365272	6105,31340	7159168410000000	0,703232217	6,76378469	-0,153316673	0,000000000000163286418	8885704450
0,000300200000	1,28127821	0,000380451172	6753756360000000	0,000164427738	5925,73555	6753756360000000	0,700565130	6,18430913	-0,137902623	0,000000000000167946333	8871550050
0,000310200000	1,21690179	0,000289838979	6389738380000000	0,000170002335	5738,13613	6389738380000000	0,698039226	5,65912225	-0,123932652	0,000000000000171293759	8858521910
0,000320200000	1,15578659	0,000198586418	6046544210000000	0,000175502120	5564,60493	6046544210000000	0,695531562	5,18735237	-0,111383573	0,000000000000175109602	8845943080
0,000330200000	1,09927662	0,000137570628	5731277300000000	0,000180751272	5408,75985	5731277300000000	0,693108374	4,77409376	-0,100390894	0,000000000000178796675	8834117540
0,000340200000	1,04777707	0,0000738415489	5445693700000000	0,000186722788	5240,30189	5445693700000000	0,690804189	4,39113482	-0,0902041861	0,000000000000181811308	8823167450
0,000350200000	0,998716435	0,0000412894655	5175170570000000	0,000192475327	5088,04994	5175170570000000	0,688516158	4,04827947	-0,0810842339	0,000000000000184021002	8812573180
0,000360200000	0,952339404	0,0000243110352	4920824120000000	0,000197423262	4964,98723	4920824120000000	0,686262235	3,75284306	-0,0732256253	0,000000000000186854968	8802403910
0,000370200000	0,909919971	-0,0000321464844	4689357200000000	0,000202616890	4841,49321	4689357200000000	0,684116206	3,48464510	-0,0660915597	0,000000000000189434379	8792963560
0,000380200000	0,869791703	-0,0000672651743	4471426570000000	0,000207871737	4722,55796	4471426570000000	0,682005309	3,23870611	-0,0595495826	0,000000000000191397418	8783904410
0,000390200000	0,833061913	-0,0000865232599	4272835000000000	0,000213157745	4608,45084	4272835000000000	0,679998511	3,01811574	-0,0536818786	0,000000000000192291433	8775497170
0,000400200000	0,799326117	-0,000105758582	4091175440000000	0,000218483470	4498,74119	4091175440000000	0,678087270	2,81935915	-0,0483949534	0,000000000000194160081	8767673420
0,000410200000	0,766309714	-0,000134357597	3914080290000000	0,000223903708	4392,37757	3914080290000000	0,676148693	2,63202087	-0,0434117551	0,000000000000198280227	8759917730
0,000420200000	0,735664600	-0,000130520795	3750316550000000	0,000229464875	4288,15707	3750316550000000	0,674284367	2,46077890	-0,0388567187	0,000000000000200412800	8752627710
0,000430200000	0,706367725	-0,000152062615	3594309460000000	0,000235122005	4187,05808	3594309460000000	0,672439040	2,30167008	-0,0346244242	0,000000000000201826874	8745572600
0,000440200000	0,679406108	-0,000189068756	3451215010000000	0,000240738718	4091,20908	3451215010000000	0,670682272	2,15847468	-0,0308154264	0,000000000000201689027	8739002660
0,000450200000	0,653807736	-0,000178979632	3315779760000000	0,000245306354	4017,00714	3315779760000000	0,668958591	2,03515628	-0,0275351570	0,000000000000201456510	8732693710
0,000460200000	0,629114655	-0,000176189453	3185526140000000	0,000249721866	3947,89890	3185526140000000	0,667240711	1,92063786	-0,0244889671	0,000000000000200923766	8726539660
0,000470200000	0,606132524	-0,000187055430	3064643930000000	0,000254085243	3881,84351	3064643930000000	0,665589745	1,81602350	-0,0217062251	0,000000000000201327077	8720749620
0,000480200000	0,584263504	-0,000219320964	2949927010000000	0,000259033224	3809,19888	2949927010000000	0,663968830	1,71465473	-0,0190098158	0,000000000000203314015	8715182180
0,000490200000	0,564732718	-0,000210569804	2847731970000000	0,000265214506	3721,44694	2847731970000000	0,662477329	1,61667499	-0,0164035547	0,000000000000205222650	8710160770
0,000500200000	0,544599478	-0,000202543263	2742638150000000	0,000269650302	3661,67513	2742638150000000	0,660893599	1,53139945	-0,0141352253	0,000000000000205954063	8704934270
0,000510200000	0,526363502	-0,000204694521	2647670420000000	0,000274532216	3597,73624	2647670420000000	0,659416004	1,45208317	-0,0120254123	0,000000000000208378061	8700155000
0,000520200000	0,507800016	-0,000227621745	2551214720000000	0,000279115600	3539,93320	2551214720000000	0,657867025	1,37620707	-0,0100071081	0,000000000000210766506	8695244330
0,000530200000	0,490142653	-0,000210112151	2459671270000000	0,000283126997	3491,05541	2459671270000000	0,656348939	1,30802688	-0,00819351497	0,000000000000213694265	8690529470
0,000540200000	0,474658997	-0,000210112151	2379561250000000	0,000286454546	3451,65386	2379561250000000	0,654979574	1,25072564	-0,00666930197	0,000000000000215445778	8686358870
0,000550200000	0,459975933	-0,000208276507	2303735130000000	0,000290732957	3401,80325	2303735130000000	0,653646066	1,19305142	-0,00513516787	0,000000000000216198914	8682371880
0,000560200000	0,444824255	-0,000249056040	2225633920000000	0,000295479249	3348,10258	2225633920000000	0,652232207	1,13409028	-0,00356680144	0,000000000000217029600	8678224170
0,000570200000	0,430890569	-0,000245537752	2153941110000000	0,000301214519	3285,06915	2153941110000000	0,650896110	1,07666057	-0,00203917104	0,000000000000218658680	8674379180
0,000580200000	0,417540094	-0,000248010062	2085366230000000	0,000308395016	3209,10066	2085366230000000	0,649581757	1,01811273	-0,000481798687	0,000000000000217843866	8670666910
0,000590200000	0,404396289	-0,000244548828	2017965070000000	0,000311940213	3173,54183	2017965070000000	0,648253162	0,974009436	0,000691349015	0,000000000000217304185	8666984550
0,000600200000	0,391546882	-0,000264080078	1952181320000000	0,000313286744	3161,01202	1952181320000000	0,646919201	0,938207753	0,00164367377	0,000000000000216073177	8663357690
0,000610200000	0,380350670	-0,000267652868	1894948250000000	0,000318579362	3109,05891	1894948250000000	0,645726933	0,895572190	0,00277777974	0,000000000000213531125	8660175310
0,000620200000	0,369247760	-0,000266433241	1838272230000000	0,000324152793	3056,14374	1838272230000000	0,644515536	0,853848743	0,00388762343	0,000000000000210532862	8656998700
0,000630200000	0,359276234	-0,000266433241	1787439590000000	0,000328587984	3015,44167	1787439590000000	0,643401611	0,819031450	0,00481376343	0,000000000000206270914	8654127890
0,000640200000	0,349137674	-0,000269892950	1735821620000000	0,000332953638	2976,48218	1735821620000000	0,642242509	0,784950398	0,00572031942	0,000000000000203704217	8651191370
0,000650200000	0,338203662	-0,000269824563	1680228690000000	0,000336535447	2945,52397	1680228690000000	0,640960884	0,751724085	0,00660413934	0,000000000000202231393	8648004240
0,000660200000	0,328744632	-0,000275435456	1632197960000000	0,000340174830	2914,59663	1632197960000000	0,639824266	0,722422955	0,00738354939	0,000000000000200653562	8645229880
0,000670200000	0,320148481	-0,000275304934	1588599320000000	0,000344400202	2879,30766	1588599320000000	0,638767705	0,694499374	0,00812631665	0,000000000000201667507	8642694610
0,000680200000	0,311220574	-0,000271848189	1543369130000000	0,000346082458	2865,99367	1543369130000000	0,637645335	0,671446025	0,00873953572	0,000000000000202224505	8640047220
0,000690200000	0,302493295	-0,000269566384	1499205740000000	0,000346440057	2863,78609	1499205740000000	0,636522272	0,651559404	0,00926851985	0,000000000000201274596	8637445110
0,000700200000	0,294181541	-0,000277247213	1457191430000000	0,000351742528	2821,00409	1457191430000000	0,635427622	0,623752947	0,0100081716	0,000000000000204569799	8634953690
0,000710200000	0,285740555	-0,000281441189	1414570240000000	0,000355900456	2788,52647	1414570240000000	0,634289617	0,598434820	0,0106816338	0,000000000000209199488	8632410220
0,000720200000	0,278289943	-0,000275884680	1376988640000000	0,000356429825	2784,99818	1376988640000000	0,633261950	0,581670722	0,0111275588	0,000000000000213317584	8630153940
0,000730200000	0,271240135	-0,000272571926	1341462350000000	0,000358257368	2771,29169	1341462350000000	0,632268549	0,563772958	0,0116036393	0,000000000000217435972	8628009270
0,000740200000	0,263633140	-0,000274580750	1303164930000000	0,000361249098	2748,82354	1303164930000000	0,631172574	0,543142135	0,0121524192	0,000000000000220590186	8625684350
0,000750200000	0,256655499	-0,000283819107	1268069540000000	0,000364928184	2721,50575	1268069540000000	0,630144215	0,523186525	0,0126832384	0,000000000000218949563	8623541940
0,000760200000	0,250390134	-0,000292862973	1236584090000000	0,000372176972	2668,66042	1236584090000000	0,629201102	0,500259147	0,0132931067	0,000000000000222589585	8621610150
0,000770200000	0,243390633	-0,000291545898	1201440060000000	0,000378131782	2626,93079	1201440060000000	0,628124314	0,478387485	0,0138748929	0,000000000000228075529	8619442950
0,000780200000	0,237013665	-0,000293276277	1169449970000000	0,000378707179	2623,44046	1169449970000000	0,627120962	0,464942227	0,0142325368	0,000000000000231106907	8617460150
0,000790200000	0,230891401	-0,000285006417	1138762970000000	0,000380426611	2612,00904	1138762970000000	0,626136644	0,450695614	0,0146114967	0,000000000000228140945	8615549040
0,000800200000	0,225188747	-0,000278876480	1110201600000000	0,000384007121	2587,96526	1110201600000000	0,625200353	0,435294775	0,0150211590	0,000000000000224598895	8613762290
0,000810200000	0,219502490	-0,000285564453	1081743870000000	0,000385095579	2581,06631	1081743870000000	0,624247199	0,422938085	0,0153498469	0,000000000000220971439	8611974330
0,000820200000	0,214968243	-0,000288252417	1059066970000000	0,000392078097	2535,18658	1059066970000000	0,623472535	0,406697710	0,0157818409	0,000000000000216620254	8610544060
0,000830200000	0,209852712	-0,000293759919	1033499380000000	0,000400658905	2480,97354	1033499380000000	0,622582311	0,388379506	0,0162691051	0,000000000000216857467	8608925590
0,000840200000	0,204267641	-0,000290627408	1005604940000000	0,000404461178	2457,95575	1005604940000000	0,621589823	0,374344487	0,0166424366	0,000000000000211791236	8607152740
0,000850200000	0,199236001	-0,000279104117	980492441000000	0,000405551602	2451,70714	980492441000000	0,620676441	0,364014776	0,0169172070	0,000000000000206112794	8605550370
0,000860200000	0,194067687	-0,000282681269	954715437000000	0,000406344785	2447,30154	954715437000000	0,619718332	0,353753005	0,0171901701	0,000000000000197816317	8603899380
0,000870200000	0,189503596	-0,000291718639	931966868000000	0,000405191413	2454,66461	931966868000000	0,618854665	0,346306883	0,0173882369	0,000000000000191304186	8602437140
0,000880200000	0,185458335	-0,000294198361	911815956000000	0,000402395965	2472,12534	911815956000000	0,618074784	0,341172843	0,0175248024	0,000000000000190613893	8601137800
0,000890200000	0,181397564	-0,000293015263	891598826000000	0,000407008064	2444,28021	891598826000000	0,617277734	0,329827876	0,0178265785	0,000000000000190293898	8599830350
0,000900200000	0,176985736	-0,000289166087	869646468000000	0,000413749434	2404,58925	869646468000000	0,616394989	0,316465381	0,0181820209	0,000000000000189614714	8598406370
0,000910200000	0,172520956	-0,000291601385	847443957000000	0,000417661935	2382,29186	847443957000000	0,615483038	0,305497017	0,0184737793	0,000000000000191556207	8596961620
0,000920200000	0,168532526	-0,000291353445	827621596000000	0,000418474906	2377,94579	827621596000000	0,614651820	0,297771603	0,0186792754	0,000000000000186185351	8595667920
0,000930200000	0,164419134	-0,000293725725	807189410000000	0,000416304559	2390,71718	807189410000000	0,613777424	0,291934333	0,0188345468	0,000000000000176946131	8594330670
0,000940200000	0,160327942	-0,000295775528	786878830000000	0,000414922759	2399,02697	786878830000000	0,612889692	0,285536405	0,0190047316	0,000000000000173213787	8592997640
0,000950200000	0,156987630	-0,000287857252	770304345000000	0,000415961053	2393,26325	770304345000000	0,612150939	0,278824263	0,0191832746	0,000000000000172904751	8591907090
0,000960200000	0,153578628	-0,000287652276	753396813000000	0,000422175150	2358,13351	753396813000000	0,611383505	0,268690304	0,0194528379	0,000000000000174684020	8590792130
0,000970200000	0,149956633	-0,000291624149	735441521000000	0,000428752408	2322,06805	735441521000000	0,610552560	0,258263158	0,0197302000	0,000000000000177772307	8589605350
0,000980200000	0,146064990	-0,000292218320	716159411000000	0,000428692333	2322,68506	716159411000000	0,609641068	0,251527151	0,0199093778	0,000000000000187398502	8588327790
0,000990200000	0,143018361	-0,000294443786	701071305000000	0,000431695557	2306,68331	701071305000000	0,608913373	0,244514994	0,0200959011	0,000000000000184061844	8587325920
0,00100020000	0,139800059	-0,000296363136	685139851000000	0,000434085067	2294,17005	685139851000000	0,608130606	0,237643132	0,0202786927	0,000000000000174557731	8586266000
0,00101020000	0,136479469	-0,000282490683	668709423000000	0,000430355161	2314,38099	668709423000000	0,607307154	0,233954451	0,0203768116	0,000000000000167221619	8585170710
